名前	カレーの食べ方
水川 大	ぶっかけ・混ぜ混ぜ派
柴田 菜々美	左ルー・せき止め派
児島 一哉	左ルー・混ぜ混ぜ派
牧瀬 慎之介	別盛り・別口派
篠田 勇太	ぶっかけ・混ぜ混ぜ派
萩原 将也	左ルー・ルー攻め派
及川 信輔	ぶっかけ・混ぜ混ぜ派
坂元 なつみ	左ルー・せき止め派
高樹 ケンイチ	別盛り・せき止め派
藤田 愛	ぶっかけ・せき止め派
菅原 長利	ぶっかけ・別口派
伊沢 夏空	左ルー・混ぜ混ぜ派
古田 瑠璃亜	左ルー・ルー攻め派
森井 一輝	ぶっかけ・せき止め派
坂本 なぎさ	奥ルー・別口派
首藤 基祐	手前ルー・別口派
手塚 寿々花	左ルー・ルー攻め派
岡村 優	右ルー・混ぜ混ぜ派
飯田 雅彦	奥ルー・ルー攻め派
池田 広司	右ルー・別口派
谷村 竜次	ぶっかけ・別口派
綾瀬 真一	左ルー・別口派
堀北 さやか	左ルー・混ぜ混ぜ派
岡田 なつみ	左ルー・せき止め派
倉田 芳正	右ルー・せき止め派
玉井 美希	左ルー・ルー攻め派
阿井 朝陽	左ルー・せき止め派
庄司 美里	ぶっかけ・混ぜ混ぜ派
中村 芳正	左ルー・せき止め派
栗山 雅之	ぶっかけ・せき止め派
風間 菜摘	左ルー・せき止め派
服部 麻由子	左ルー・せき止め派
前原 千夏	左ルー・せき止め派
中本 竜也	ぶっかけ・せき止め派
塚原 啓介	左ルー・せき止め派
牧瀬 恵子	左ルー・別口派
森川 洋	左ルー・混ぜ混ぜ派
大田 由宇	左ルー・せき止め派
井上 あおい	ぶっかけ・ルー攻め派
中川 明	右ルー・せき止め派
加藤 長利	右ルー・せき止め派
渡部 丈雄	手前ルー・別口派
工藤 鉄二	別盛り・別口派
徳田 美優	手前ルー・混ぜ混ぜ派
佐々木 あき	奥ルー・別口派
津田 宏	ぶっかけ・せき止め派
会田 莉沙	ぶっかけ・ルー攻め派
吉田 慢太郎	右ルー・ルー攻め派
安倍 照生	ぶっかけ・混ぜ混ぜ派
中野 まさし	左ルー・混ぜ混ぜ派
海老原 莉央	ぶっかけ・ルー攻め派
成瀬 陽介	ぶっかけ・ルー攻め派
古川 陽介	右ルー・混ぜ混ぜ派
多岐川 一輝	奥ルー・混ぜ混ぜ派
大津 陽子	ぶっかけ・ルー攻め派
小高 杏	奥ルー・ルー攻め派
今川 惇	左ルー・せき止め派
藤井 哲平	左ルー・混ぜ混ぜ派
渡辺 美和子	右ルー・別口派
横尾 広司	手前ルー・せき止め派
矢沢 仁	奥ルー・せき止め派
石田 樹里	ぶっかけ・ナン派
柏原 功補	別盛り・混ぜ混ぜ派
加藤 ヒロ	左ルー・別口派
富岡 だん吉	右ルー・混ぜ混ぜ派
対馬 禄郎	左ルー・せき止め派
秋田 ひろ子	左ルー・せき止め派
松川 瞬	右ルー・せき止め派
岩城 遥	奥ルー・別口派
高原 えみ	左ルー・ルー攻め派
少路 良介	左ルー・混ぜ混ぜ派
佐々木 あおい	左ルー・せき止め派
野原 美優	左ルー・混ぜ混ぜ派
小川 景子	ぶっかけ・せき止め派
上田 大樹	別盛り・せき止め派
横田 雅之	左ルー・せき止め派
小出 一徳	手前ルー・混ぜ混ぜ派
宇佐美 そら	別盛り・ルー攻め派
山中 みき	ぶっかけ・別口派
大森 秀樹	右ルー・せき止め派
片桐 良介	右ルー・混ぜ混ぜ派
木下 まみ	奥ルー・ルー攻め派
熊倉 光良	手前ルー・せき止め派
津川 薫	左ルー・せき止め派
落合 真希	左ルー・別口派
黒谷 有海	左ルー・別口派
藤沢 麻緒	手前ルー・混ぜ混ぜ派
満島 鉄洋	左ルー・ルー攻め派
杉浦 理紗	奥ルー・せき止め派
杉本 高史	左ルー・ルー攻め派
長田 昴	手前ルー・せき止め派
堀内 一代	右ルー・ルー攻め派
湯浅 まなみ	右ルー・せき止め派
森田 丈雄	左ルー・混ぜ混ぜ派
境 康文	左ルー・混ぜ混ぜ派
菅谷 育子	ぶっかけ・別口派
青木 雅之	左ルー・混ぜ混ぜ派
長崎 真帆	ぶっかけ・せき止め派
綾小路 公顕	ぶっかけ・せき止め派
小沼 晋也	ぶっかけ・ナン派
江原 精児	ぶっかけ・混ぜ混ぜ派
唐沢 花	左ルー・ナン派
木田 啓介	左ルー・混ぜ混ぜ派
山元 沙知絵	ぶっかけ・せき止め派
神木 友以乃	手前ルー・ルー攻め派
植田 まみ	ぶっかけ・ルー攻め派
尾崎 寿明	奥ルー・混ぜ混ぜ派
江原 ジョージ	左ルー・別口派
青木 恵美	奥ルー・ルー攻め派
奥山 光	左ルー・せき止め派
花田 法子	左ルー・ナン派
相原 しぼり	左ルー・せき止め派
鶴田 遥	別盛り・混ぜ混ぜ派
葛西 奈々	ぶっかけ・混ぜ混ぜ派
木戸 誠一	ぶっかけ・せき止め派
柴田 蒼甫	手前ルー・混ぜ混ぜ派
徳永 璃奈子	ぶっかけ・せき止め派
小森 洋介	奥ルー・せき止め派
若林 翔	左ルー・ナン派
阿井 ちえみ	左ルー・せき止め派
杉村 秀隆	手前ルー・せき止め派
榊原 ジョージ	ぶっかけ・混ぜ混ぜ派
畑中 法子	右ルー・混ぜ混ぜ派
本村 愛菜	手前ルー・ルー攻め派
本間 みき	左ルー・せき止め派
黒崎 さやか	左ルー・せき止め派
長谷 美咲	右ルー・せき止め派
森井 進	左ルー・混ぜ混ぜ派
宮部 直人	左ルー・混ぜ混ぜ派
野本 英嗣	ぶっかけ・せき止め派
坂本 友香	左ルー・ルー攻め派
大森 サンタマリア	奥ルー・ルー攻め派
筒井 知世	左ルー・せき止め派
武内 まさし	手前ルー・別口派
三村 詩織	左ルー・混ぜ混ぜ派
外山 利夫	別盛り・ルー攻め派
沢田 京子	奥ルー・せき止め派
池谷 きみまろ	ぶっかけ・せき止め派
神戸 陽子	奥ルー・せき止め派
木原 寛治	ぶっかけ・ルー攻め派
三村 妃里	ぶっかけ・ルー攻め派
片平 浩介	ぶっかけ・ルー攻め派
米田 賢二	左ルー・せき止め派
児島 ヒロ	別盛り・ルー攻め派
宮下 小雁	ぶっかけ・混ぜ混ぜ派
河内 芳正	別盛り・ナン派
井原 進	ぶっかけ・ルー攻め派
滝 真吾	左ルー・混ぜ混ぜ派
石塚 遥	別盛り・混ぜ混ぜ派
三浦 愛	ぶっかけ・ルー攻め派
大崎 恵梨香	右ルー・せき止め派
西島 未來	右ルー・せき止め派
辻 希	手前ルー・ルー攻め派
矢野 花緑	ぶっかけ・別口派
藤崎 美佐子	左ルー・別口派
重田 莉央	ぶっかけ・せき止め派
古山 未華子	左ルー・ルー攻め派
川原 綾女	奥ルー・せき止め派
大林 一	ぶっかけ・混ぜ混ぜ派
藤井 真悠子	手前ルー・せき止め派
沢井 遥	右ルー・ルー攻め派
三浦 めぐみ	奥ルー・ナン派
成田 耕司	ぶっかけ・ルー攻め派
長崎 恵子	ぶっかけ・せき止め派
三輪 信輔	奥ルー・せき止め派
野島 菜々美	ぶっかけ・せき止め派
木田 高史	右ルー・せき止め派
高崎 優	奥ルー・混ぜ混ぜ派
松原 奈々	左ルー・せき止め派
村井 華子	左ルー・ルー攻め派
寺岡 大	左ルー・ルー攻め派
島本 守	右ルー・せき止め派
千田 新太	手前ルー・混ぜ混ぜ派
庄司 夏希	左ルー・せき止め派
大後 満	ぶっかけ・混ぜ混ぜ派
泉 砂羽	ぶっかけ・せき止め派
清田 菜摘	奥ルー・ナン派
片山 明日	右ルー・混ぜ混ぜ派
丸田 まひる	ぶっかけ・混ぜ混ぜ派
塚原 満	左ルー・せき止め派
坂上 だん吉	ぶっかけ・別口派
山下 昌代	左ルー・混ぜ混ぜ派
神崎 ノブヒコ	別盛り・せき止め派
沖 はるか	左ルー・せき止め派
百瀬 豊	手前ルー・せき止め派
渋谷 春樹	左ルー・別口派
志村 ひろみ	ぶっかけ・ルー攻め派
富山 勇介	右ルー・混ぜ混ぜ派
筒井 麻由子	手前ルー・ルー攻め派
島田 勇太	奥ルー・ルー攻め派
役所 恵子	左ルー・ルー攻め派
原口 里穂	手前ルー・ルー攻め派
大沢 憲一	ぶっかけ・せき止め派
平井 恵子	左ルー・ルー攻め派
邑野 美希	右ルー・ルー攻め派
志賀 秀隆	左ルー・せき止め派
石坂 和之	ぶっかけ・ルー攻め派
浅利 敏和	ぶっかけ・ルー攻め派
柏原 竜也	右ルー・せき止め派
岡崎 公顕	左ルー・ルー攻め派
沖田 正義	ぶっかけ・ルー攻め派
大崎 克実	左ルー・ルー攻め派
山田 美佳	左ルー・せき止め派
沢田 七世	左ルー・別口派
杉下 俊二	右ルー・せき止め派
西沢 遥	ぶっかけ・ルー攻め派
末吉 京子	左ルー・ルー攻め派
鈴木 咲	左ルー・ルー攻め派
吉崎 智花	奥ルー・別口派
武内 サンタマリア	手前ルー・ルー攻め派
大久保 未來	ぶっかけ・せき止め派
飯野 獅童	右ルー・混ぜ混ぜ派
手塚 くるみ	奥ルー・せき止め派
佐古 染五郎	ぶっかけ・混ぜ混ぜ派
奈良 雅彦	ぶっかけ・混ぜ混ぜ派
下田 路子	奥ルー・せき止め派
加藤 だん吉	奥ルー・別口派
北原 裕次郎	ぶっかけ・別口派
大浦 弘也	ぶっかけ・混ぜ混ぜ派
相原 瞬	右ルー・混ぜ混ぜ派
村山 早織	奥ルー・混ぜ混ぜ派
依田 砂羽	奥ルー・別口派
沢田 たかお	左ルー・別口派
山城 賢二	奥ルー・混ぜ混ぜ派
貫地谷 怜奈	左ルー・せき止め派
小室 秀隆	奥ルー・ルー攻め派
中根 建	ぶっかけ・混ぜ混ぜ派
宮原 ケンイチ	左ルー・せき止め派
